id,Specialism,reference_sum,test_sum,alignment_index,alignment_type
1,Cryptography & Communications Security (Cryptographer),450,60.910000000000004,0.13535555555555556,personal
1,Cryptography & Communications Security (Secure Communications Operator),420,60.910000000000004,0.14502380952380953,personal
1,Cyber Security Audit & Assurance,360,164.76,0.45766666666666667,personal
1,Cyber Security Governance & Risk Management,240,90,0.375,personal
1,Cyber Security Governance & Risk Management (Industrial Control Systems),300,90,0.3,personal
1,Cyber Security Management,870,308.58,0.3546896551724138,personal
1,Cyber Threat Intelligence,420,284.21,0.6766904761904762,personal
1,Data Protection & Privacy,330,53.870000000000005,0.16324242424242424,personal
1,Digital Forensics,480,208.15,0.43364583333333334,personal
1,Digital Forensics (Industrial Control Systems),570,208.15,0.36517543859649126,personal
1,Identity & Access Management,510,97.59,0.1913529411764706,personal
1,Incident response,330,254.20999999999998,0.7703333333333333,personal
1,Incident response (Industrial Control Systems),420,254.20999999999998,0.6052619047619047,personal
1,Network Monitoring & Intrusion Detection,270,164.20999999999998,0.6081851851851852,personal
1,Secure Operations,420,177.92999999999998,0.4236428571428571,personal
1,Secure Operations (Industrial control systems),480,177.92999999999998,0.37068749999999995,personal
1,Secure System Architecture & Design,540,83.82,0.1552222222222222,personal
1,Secure System Architecture & Design (Industrial Control Systems),630,83.82,0.13304761904761903,personal
1,Secure System Development,540,83.82,0.1552222222222222,personal
1,Secure System Development (Industrial Control Systems),630,83.82,0.13304761904761903,personal
1,Security Testing,510,190.1,0.3727450980392157,personal
1,Vulnerability Management,390,194.20999999999998,0.49797435897435893,personal
2,Cryptography & Communications Security (Cryptographer),450,251.18,0.5581777777777778,personal
2,Cryptography & Communications Security (Secure Communications Operator),420,251.18,0.598047619047619,personal
2,Cyber Security Audit & Assurance,360,255.53,0.7098055555555556,personal
2,Cyber Security Governance & Risk Management,240,188.09,0.7837083333333333,personal
2,Cyber Security Governance & Risk Management (Industrial Control Systems),300,248.09,0.8269666666666666,personal
2,Cyber Security Management,870,559.49,0.6430919540229885,personal
2,Cyber Threat Intelligence,420,198.47,0.47254761904761905,personal
2,Data Protection & Privacy,330,253.28000000000003,0.7675151515151516,personal
2,Digital Forensics,480,217.39,0.45289583333333333,personal
2,Digital Forensics (Industrial Control Systems),570,293.93,0.5156666666666667,personal
2,Identity & Access Management,510,261.15,0.5120588235294117,personal
2,Incident response,330,125.89,0.3814848484848485,personal
2,Incident response (Industrial Control Systems),420,202.43,0.4819761904761905,personal
2,Network Monitoring & Intrusion Detection,270,136.5,0.5055555555555555,personal
2,Secure Operations,420,221.73000000000002,0.5279285714285715,personal
2,Secure Operations (Industrial control systems),480,281.73,0.5869375,personal
2,Secure System Architecture & Design,540,139.33,0.25801851851851854,personal
2,Secure System Architecture & Design (Industrial Control Systems),630,215.87,0.34265079365079365,personal
2,Secure System Development,540,139.33,0.25801851851851854,personal
2,Secure System Development (Industrial Control Systems),630,215.87,0.34265079365079365,personal
2,Security Testing,510,227.91,0.44688235294117645,personal
2,Vulnerability Management,390,163.67000000000002,0.4196666666666667,personal
3,Cryptography & Communications Security (Cryptographer),450,347.72,0.7727111111111111,personal
3,Cryptography & Communications Security (Secure Communications Operator),420,317.72,0.7564761904761905,personal
3,Cyber Security Audit & Assurance,360,248.86,0.6912777777777778,personal
3,Cyber Security Governance & Risk Management,240,184.43,0.7684583333333334,personal
3,Cyber Security Governance & Risk Management (Industrial Control Systems),300,244.43,0.8147666666666666,personal
3,Cyber Security Management,870,626.58,0.7202068965517242,personal
3,Cyber Threat Intelligence,420,364.43,0.8676904761904762,personal
3,Data Protection & Privacy,330,103.29000000000002,0.31300000000000006,personal
3,Digital Forensics,480,354.11,0.7377291666666667,personal
3,Digital Forensics (Industrial Control Systems),570,444.11,0.779140350877193,personal
3,Identity & Access Management,510,287.72,0.5641568627450981,personal
3,Incident response,330,330,1,personal
3,Incident response (Industrial Control Systems),420,420,1,personal
3,Network Monitoring & Intrusion Detection,270,270,1,personal
