id,Specialism,alignment_type,threshold_sum,indicator_sum,indicator_mean,indicator_max,indicator_min,alignment_index
1,Cryptography & Communications Security (Cryptographer),personal,450,60.910000000000004,7.6137500000000005,23.87,0,0.13535555555555556
1,Cryptography & Communications Security (Secure Communications Operator),personal,420,60.910000000000004,7.6137500000000005,23.87,0,0.14502380952380953
1,Cyber Security Audit & Assurance,personal,360,164.76,27.46,60,0,0.45766666666666667
1,Cyber Security Governance & Risk Management,personal,240,90,22.5,60,0,0.375
1,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,90,18,60,0,0.3
1,Cyber Security Management,personal,870,308.58,14.694285714285716,60,0,0.3546896551724138
1,Cyber Threat Intelligence,personal,420,284.21,40.60142857142857,90,0,0.6766904761904762
1,Data Protection & Privacy,personal,330,53.870000000000005,10.774000000000001,30,0,0.16324242424242424
1,Digital Forensics,personal,480,208.15,26.01875,60,0,0.43364583333333334
1,Digital Forensics (Industrial Control Systems),personal,570,208.15,23.127777777777776,60,0,0.36517543859649126
1,Identity & Access Management,personal,510,97.59,10.843333333333334,30,0,0.1913529411764706
1,Incident response,personal,330,254.20999999999998,36.315714285714286,60,0,0.7703333333333333
1,Incident response (Industrial Control Systems),personal,420,254.20999999999998,31.77625,60,0,0.6052619047619047
1,Network Monitoring & Intrusion Detection,personal,270,164.20999999999998,41.0525,60,23.32,0.6081851851851852
1,Secure Operations,personal,420,177.92999999999998,22.24125,50.89,0,0.4236428571428571
1,Secure Operations (Industrial control systems),personal,480,177.92999999999998,19.77,50.89,0,0.37068749999999995
1,Secure System Architecture & Design,personal,540,83.82,10.4775,24.01,0,0.1552222222222222
1,Secure System Architecture & Design (Industrial Control Systems),personal,630,83.82,9.313333333333333,24.01,0,0.13304761904761903
1,Secure System Development,personal,540,83.82,10.4775,24.01,0,0.1552222222222222
1,Secure System Development (Industrial Control Systems),personal,630,83.82,9.313333333333333,24.01,0,0.13304761904761903
1,Security Testing,personal,510,190.1,27.157142857142855,90,0,0.3727450980392157
1,Vulnerability Management,personal,390,194.20999999999998,32.36833333333333,60,0,0.49797435897435893
2,Cryptography & Communications Security (Cryptographer),personal,450,251.18,31.3975,73.53,3.43,0.5581777777777778
2,Cryptography & Communications Security (Secure Communications Operator),personal,420,251.18,31.3975,73.53,3.43,0.598047619047619
2,Cyber Security Audit & Assurance,personal,360,255.53,42.58833333333333,90,8.09,0.7098055555555556
2,Cyber Security Governance & Risk Management,personal,240,188.09,47.0225,90,8.09,0.7837083333333333
2,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,248.09,49.618,90,8.09,0.8269666666666666
2,Cyber Security Management,personal,870,559.49,26.642380952380954,90,3.43,0.6430919540229885
2,Cyber Threat Intelligence,personal,420,198.47,28.352857142857143,60,12.07,0.47254761904761905
2,Data Protection & Privacy,personal,330,253.28000000000003,50.656,84.09,8.09,0.7675151515151516
2,Digital Forensics,personal,480,217.39,27.173750000000002,84.09,10.7,0.45289583333333333
2,Digital Forensics (Industrial Control Systems),personal,570,293.93,32.65888888888889,84.09,10.7,0.5156666666666667
2,Identity & Access Management,personal,510,261.15,29.016666666666666,60,3.43,0.5120588235294117
2,Incident response,personal,330,125.89,17.984285714285715,31.28,8.09,0.3814848484848485
2,Incident response (Industrial Control Systems),personal,420,202.43,25.30375,76.54,8.09,0.4819761904761905
2,Network Monitoring & Intrusion Detection,personal,270,136.5,34.125,73.53,12.07,0.5055555555555555
2,Secure Operations,personal,420,221.73000000000002,27.716250000000002,60,8.09,0.5279285714285715
2,Secure Operations (Industrial control systems),personal,480,281.73,31.30333333333333,60,8.09,0.5869375
2,Secure System Architecture & Design,personal,540,139.33,17.41625,38.27,3.43,0.25801851851851854
2,Secure System Architecture & Design (Industrial Control Systems),personal,630,215.87,23.985555555555557,76.54,3.43,0.34265079365079365
2,Secure System Development,personal,540,139.33,17.41625,38.27,3.43,0.25801851851851854
2,Secure System Development (Industrial Control Systems),personal,630,215.87,23.985555555555557,76.54,3.43,0.34265079365079365
2,Security Testing,personal,510,227.91,32.558571428571426,73.53,10.7,0.44688235294117645
2,Vulnerability Management,personal,390,163.67000000000002,27.278333333333332,60,10.7,0.4196666666666667
3,Cryptography & Communications Security (Cryptographer),personal,450,347.72,43.464999999999996,90,4.43,0.7727111111111111
3,Cryptography & Communications Security (Secure Communications Operator),personal,420,317.72,39.715,90,4.43,0.7564761904761905
3,Cyber Security Audit & Assurance,personal,360,248.86,41.47666666666667,90,4.43,0.6912777777777778
3,Cyber Security Governance & Risk Management,personal,240,184.43,46.1075,90,4.43,0.7684583333333334
3,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,244.43,48.886,90,4.43,0.8147666666666666
3,Cyber Security Management,personal,870,626.58,29.837142857142858,90,4.43,0.7202068965517242
3,Cyber Threat Intelligence,personal,420,364.43,52.06142857142857,90,4.43,0.8676904761904762
3,Data Protection & Privacy,personal,330,103.29000000000002,20.658,60,4.43,0.31300000000000006
3,Digital Forensics,personal,480,354.11,44.26375,60,4.43,0.7377291666666667
3,Digital Forensics (Industrial Control Systems),personal,570,444.11,49.345555555555556,90,4.43,0.779140350877193
3,Identity & Access Management,personal,510,287.72,31.968888888888888,90,4.43,0.5641568627450981
3,Incident response,personal,330,330,47.142857142857146,90,30,1
3,Incident response (Industrial Control Systems),personal,420,420,52.5,90,30,1
3,Network Monitoring & Intrusion Detection,personal,270,270,67.5,90,30,1
3,Secure Operations,personal,420,278.86,34.8575,90,4.43,0.663952380952381
3,Secure Operations (Industrial control systems),personal,480,338.86,37.65111111111111,90,4.43,0.7059583333333334
3,Secure System Architecture & Design,personal,540,484.43,60.55375,90,4.43,0.8970925925925926
3,Secure System Architecture & Design (Industrial Control Systems),personal,630,574.4300000000001,63.82555555555555,90,4.43,0.9117936507936509
3,Secure System Development,personal,540,484.43,60.55375,90,4.43,0.8970925925925926
3,Secure System Development (Industrial Control Systems),personal,630,574.4300000000001,63.82555555555555,90,4.43,0.9117936507936509
3,Security Testing,personal,510,454.43,64.91857142857143,90,4.43,0.8910392156862745
3,Vulnerability Management,personal,390,390,65,90,30,1
4,Cryptography & Communications Security (Cryptographer),personal,450,359.94,44.9925,90,16.47,0.7998666666666666
4,Cryptography & Communications Security (Secure Communications Operator),personal,420,359.94,44.9925,90,16.47,0.857
4,Cyber Security Audit & Assurance,personal,360,276.29,46.04833333333333,66.18,16.47,0.7674722222222223
4,Cyber Security Governance & Risk Management,personal,240,199.82,49.955,66.18,30,0.8325833333333333
4,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,259.82,51.964,66.18,30,0.8660666666666667
4,Cyber Security Management,personal,870,715.94,34.09238095238096,78.9,8.96,0.8229195402298851
4,Cyber Threat Intelligence,personal,420,356.18000000000006,50.88285714285714,78.9,30,0.8480476190476192
4,Data Protection & Privacy,personal,330,206.18,41.236,60,16.47,0.6247878787878788
4,Digital Forensics,personal,480,358.55,44.81875,60,26.3,0.7469791666666666
4,Digital Forensics (Industrial Control Systems),personal,570,448.55,49.83888888888889,90,26.3,0.7869298245614035
4,Identity & Access Management,personal,510,346.7,38.522222222222226,60,16.47,0.6798039215686275
4,Incident response,personal,330,316.35999999999996,45.19428571428571,78.9,27.46,0.9586666666666666
4,Incident response (Industrial Control Systems),personal,420,406.35999999999996,50.795,90,27.46,0.9675238095238095
4,Network Monitoring & Intrusion Detection,personal,270,258.9,64.725,90,30,0.9588888888888888
4,Secure Operations,personal,420,374.96999999999997,46.87125,78.9,30,0.8927857142857142
4,Secure Operations (Industrial control systems),personal,480,434.96999999999997,48.33,78.9,30,0.9061874999999999
4,Secure System Architecture & Design,personal,540,301.44,37.68,60,26.3,0.5582222222222222
4,Secure System Architecture & Design (Industrial Control Systems),personal,630,391.44,43.49333333333333,90,26.3,0.6213333333333333
4,Secure System Development,personal,540,301.44,37.68,60,26.3,0.5582222222222222
4,Secure System Development (Industrial Control Systems),personal,630,391.44,43.49333333333333,90,26.3,0.6213333333333333
4,Security Testing,personal,510,320.86,45.83714285714286,90,26.3,0.6291372549019608
4,Vulnerability Management,personal,390,315.20000000000005,52.53333333333333,78.9,26.3,0.8082051282051284
5,Cryptography & Communications Security (Cryptographer),personal,450,135.08,16.885,30,2.6,0.3001777777777778
5,Cryptography & Communications Security (Secure Communications Operator),personal,420,135.08,16.885,30,2.6,0.32161904761904764
5,Cyber Security Audit & Assurance,personal,360,227.4,37.9,83.24,6.07,0.6316666666666667
5,Cyber Security Governance & Risk Management,personal,240,166.42,41.605,83.24,17.63,0.6934166666666666
5,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,177.39999999999998,35.48,83.24,10.98,0.5913333333333333
5,Cyber Security Management,personal,870,454.8,21.65714285714286,83.24,2.6,0.5227586206896552
5,Cyber Threat Intelligence,personal,420,164.11,23.444285714285712,54.91,6.07,0.3907380952380953
5,Data Protection & Privacy,personal,330,201.32999999999998,40.266,60,17.63,0.610090909090909
5,Digital Forensics,personal,480,165.03,20.62875,54.91,6.07,0.3438125
5,Digital Forensics (Industrial Control Systems),personal,570,176.01,19.556666666666665,54.91,6.07,0.3087894736842105
5,Identity & Access Management,personal,510,242.25,26.916666666666664,60,2.6,0.475
5,Incident response,personal,330,127.17,18.167142857142856,54.91,6.07,0.38536363636363635
5,Incident response (Industrial Control Systems),personal,420,138.15,17.26875,54.91,6.07,0.32892857142857146
5,Network Monitoring & Intrusion Detection,personal,270,88.44,22.11,54.91,6.07,0.32755555555555554
5,Secure Operations,personal,420,178.03,22.25375,54.91,8.09,0.42388095238095236
5,Secure Operations (Industrial control systems),personal,480,189.01,21.00111111111111,54.91,8.09,0.3937708333333333
5,Secure System Architecture & Design,personal,540,129.47,16.18375,43.93,2.6,0.23975925925925926
5,Secure System Architecture & Design (Industrial Control Systems),personal,630,140.45,15.605555555555556,43.93,2.6,0.2229365079365079
5,Secure System Development,personal,540,129.47,16.18375,43.93,2.6,0.23975925925925926
5,Secure System Development (Industrial Control Systems),personal,630,140.45,15.605555555555556,43.93,2.6,0.2229365079365079
5,Security Testing,personal,510,151.73999999999998,21.677142857142858,43.93,6.07,0.2975294117647058
5,Vulnerability Management,personal,390,130.29,21.715,54.91,6.07,0.33407692307692305
6,Cryptography & Communications Security (Cryptographer),personal,450,226.89999999999998,28.3625,64.47,5.21,0.5042222222222221
6,Cryptography & Communications Security (Secure Communications Operator),personal,420,226.89999999999998,28.3625,64.47,5.21,0.5402380952380952
6,Cyber Security Audit & Assurance,personal,360,150.20000000000002,25.033333333333335,52.67,5.76,0.41722222222222227
6,Cyber Security Governance & Risk Management,personal,240,114.36000000000001,28.59,40.6,6.31,0.47650000000000003
6,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,119.16000000000001,23.832,40.6,4.8,0.39720000000000005
6,Cyber Security Management,personal,870,436.84000000000003,20.801904761904762,52.67,4.8,0.5021149425287357
6,Cyber Threat Intelligence,personal,420,226.35000000000002,32.33571428571429,52.67,5.76,0.5389285714285715
6,Data Protection & Privacy,personal,330,141.84,28.368000000000002,50.07,6.31,0.4298181818181818
6,Digital Forensics,personal,480,218.15000000000003,27.26875,52.67,5.21,0.4544791666666667
6,Digital Forensics (Industrial Control Systems),personal,570,222.95000000000005,24.772222222222222,52.67,4.8,0.39114035087719307
6,Identity & Access Management,personal,510,280.85,31.205555555555556,54.6,5.76,0.550686274509804
6,Incident response,personal,330,172.48,24.64,52.67,5.76,0.5226666666666666
6,Incident response (Industrial Control Systems),personal,420,177.28,22.16,52.67,4.8,0.4220952380952381
6,Network Monitoring & Intrusion Detection,personal,270,163.37,40.8425,64.47,5.76,0.6050740740740741
6,Secure Operations,personal,420,286.93,35.86625,60,5.21,0.6831666666666667
6,Secure Operations (Industrial control systems),personal,480,291.73,32.41444444444444,60,4.8,0.6077708333333334
6,Secure System Architecture & Design,personal,540,174.03,21.75375,54.6,5.21,0.3222777777777778
6,Secure System Architecture & Design (Industrial Control Systems),personal,630,178.83,19.87,54.6,4.8,0.28385714285714286
6,Secure System Development,personal,540,174.03,21.75375,54.6,5.21,0.3222777777777778
6,Secure System Development (Industrial Control Systems),personal,630,178.83,19.87,54.6,4.8,0.28385714285714286
6,Security Testing,personal,510,217.29,31.041428571428572,64.47,5.76,0.42605882352941177
