"","id","permutation","test_max","reference_max","alignment_index","n_permutations"
"1","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator)",0,0,NA,2
"2","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance",30,100,0.3,2
"3","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management",0,0,NA,2
"4","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems)",0,0,NA,2
"5","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management",90,250.21,0.359697853802806,2
"6","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence",210,250.21,0.839294992206546,2
"7","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy",0,0,NA,2
"8","1","Cryptography & Communications Security (Cryptographer), Digital Forensics",110.21,150.21,0.73370614473071,2
"9","1","Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"10","1","Cryptography & Communications Security (Cryptographer), Identity & Access Management",30,100,0.3,2
"11","1","Cryptography & Communications Security (Cryptographer), Incident response",150,250.21,0.599496423004676,2
"12","1","Cryptography & Communications Security (Cryptographer), Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"13","1","Cryptography & Communications Security (Cryptographer), Network Monitoring & Intrusion Detection",90,200,0.45,2
"14","1","Cryptography & Communications Security (Cryptographer), Secure Operations",60,150.21,0.399440782903934,2
"15","1","Cryptography & Communications Security (Cryptographer), Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
"16","1","Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design",0,0,NA,2
"17","1","Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,2
"18","1","Cryptography & Communications Security (Cryptographer), Secure System Development",0,0,NA,2
"19","1","Cryptography & Communications Security (Cryptographer), Secure System Development (Industrial Control Systems)",0,0,NA,2
"20","1","Cryptography & Communications Security (Cryptographer), Security Testing",120,200,0.6,2
"21","1","Cryptography & Communications Security (Cryptographer), Vulnerability Management",120,200,0.6,2
"22","1","Cryptography & Communications Security (Secure Communications Operator), Cyber Security Audit & Assurance",30,100,0.3,2
"23","1","Cryptography & Communications Security (Secure Communications Operator), Cyber Security Governance & Risk Management",0,0,NA,2
"24","1","Cryptography & Communications Security (Secure Communications Operator), Cyber Security Governance & Risk Management (Industrial Control Systems)",0,0,NA,2
"25","1","Cryptography & Communications Security (Secure Communications Operator), Cyber Security Management",90,250.21,0.359697853802806,2
"26","1","Cryptography & Communications Security (Secure Communications Operator), Cyber Threat Intelligence",210,250.21,0.839294992206546,2
"27","1","Cryptography & Communications Security (Secure Communications Operator), Data Protection & Privacy",0,0,NA,2
"28","1","Cryptography & Communications Security (Secure Communications Operator), Digital Forensics",110.21,150.21,0.73370614473071,2
"29","1","Cryptography & Communications Security (Secure Communications Operator), Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"30","1","Cryptography & Communications Security (Secure Communications Operator), Identity & Access Management",30,100,0.3,2
"31","1","Cryptography & Communications Security (Secure Communications Operator), Incident response",150,250.21,0.599496423004676,2
"32","1","Cryptography & Communications Security (Secure Communications Operator), Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"33","1","Cryptography & Communications Security (Secure Communications Operator), Network Monitoring & Intrusion Detection",90,200,0.45,2
"34","1","Cryptography & Communications Security (Secure Communications Operator), Secure Operations",60,150.21,0.399440782903934,2
"35","1","Cryptography & Communications Security (Secure Communications Operator), Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
"36","1","Cryptography & Communications Security (Secure Communications Operator), Secure System Architecture & Design",0,0,NA,2
"37","1","Cryptography & Communications Security (Secure Communications Operator), Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,2
"38","1","Cryptography & Communications Security (Secure Communications Operator), Secure System Development",0,0,NA,2
"39","1","Cryptography & Communications Security (Secure Communications Operator), Secure System Development (Industrial Control Systems)",0,0,NA,2
"40","1","Cryptography & Communications Security (Secure Communications Operator), Security Testing",120,200,0.6,2
"41","1","Cryptography & Communications Security (Secure Communications Operator), Vulnerability Management",120,200,0.6,2
"42","1","Cyber Security Audit & Assurance, Cyber Security Governance & Risk Management",30,100,0.3,2
"43","1","Cyber Security Audit & Assurance, Cyber Security Governance & Risk Management (Industrial Control Systems)",30,100,0.3,2
"44","1","Cyber Security Audit & Assurance, Cyber Security Management",90,250.21,0.359697853802806,2
"45","1","Cyber Security Audit & Assurance, Cyber Threat Intelligence",210,250.21,0.839294992206546,2
"46","1","Cyber Security Audit & Assurance, Data Protection & Privacy",30,100,0.3,2
"47","1","Cyber Security Audit & Assurance, Digital Forensics",110.21,150.21,0.73370614473071,2
"48","1","Cyber Security Audit & Assurance, Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"49","1","Cyber Security Audit & Assurance, Identity & Access Management",30,100,0.3,2
"50","1","Cyber Security Audit & Assurance, Incident response",150,250.21,0.599496423004676,2
"51","1","Cyber Security Audit & Assurance, Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"52","1","Cyber Security Audit & Assurance, Network Monitoring & Intrusion Detection",90,200,0.45,2
"53","1","Cyber Security Audit & Assurance, Secure Operations",60,150.21,0.399440782903934,2
"54","1","Cyber Security Audit & Assurance, Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
"55","1","Cyber Security Audit & Assurance, Secure System Architecture & Design",30,100,0.3,2
