id,Specialism,reference_sum,test_sum,alignment_index,alignment_type
1,Cryptography & Communications Security (Cryptographer),0,0,NA,scenario
1,Cryptography & Communications Security (Secure Communications Operator),0,0,NA,scenario
1,Cyber Security Audit & Assurance,100,30,0.3,scenario
1,Cyber Security Governance & Risk Management,0,0,NA,scenario
1,Cyber Security Governance & Risk Management (Industrial Control Systems),0,0,NA,scenario
1,Cyber Security Management,250.21,90,0.3596978538028056,scenario
1,Cyber Threat Intelligence,250.21,210,0.8392949922065465,scenario
1,Data Protection & Privacy,0,0,NA,scenario
1,Digital Forensics,150.21,110.21000000000001,0.7337061447307104,scenario
1,Digital Forensics (Industrial Control Systems),150.21,110.21000000000001,0.7337061447307104,scenario
1,Identity & Access Management,100,30,0.3,scenario
1,Incident response,250.21,150,0.5994964230046761,scenario
1,Incident response (Industrial Control Systems),250.21,150,0.5994964230046761,scenario
1,Network Monitoring & Intrusion Detection,200,90,0.45,scenario
1,Secure Operations,150.21,60,0.3994407829039345,scenario
1,Secure Operations (Industrial control systems),150.21,60,0.3994407829039345,scenario
1,Secure System Architecture & Design,0,0,NA,scenario
1,Secure System Architecture & Design (Industrial Control Systems),0,0,NA,scenario
1,Secure System Development,0,0,NA,scenario
1,Secure System Development (Industrial Control Systems),0,0,NA,scenario
1,Security Testing,200,120,0.6,scenario
1,Vulnerability Management,200,120,0.6,scenario
2,Cryptography & Communications Security (Cryptographer),341.56000000000006,265.35,0.7768766834523948,scenario
2,Cryptography & Communications Security (Secure Communications Operator),341.56000000000006,265.35,0.7768766834523948,scenario
2,Cyber Security Audit & Assurance,362.28000000000003,334.65000000000003,0.9237330241801921,scenario
2,Cyber Security Governance & Risk Management,326.2,240,0.7357449417535254,scenario
2,Cyber Security Governance & Risk Management (Industrial Control Systems),423.46,300,0.7084494403249422,scenario
2,Cyber Security Management,856.7900000000001,640.26,0.7472776292907246,scenario
2,Cyber Threat Intelligence,345.13,205.46,0.5953119114536551,scenario
2,Data Protection & Privacy,336.08000000000004,248.45,0.7392585098786002,scenario
2,Digital Forensics,317.83000000000004,277.20000000000005,0.8721643645974263,scenario
2,Digital Forensics (Industrial Control Systems),415.09000000000003,367.20000000000005,0.8846274301958612,scenario
2,Identity & Access Management,367.76,234.54,0.637752882314553,scenario
2,Incident response,289.84999999999997,175.46,0.6053475935828878,scenario
2,Incident response (Industrial Control Systems),387.10999999999996,265.46000000000004,0.6857482369352382,scenario
2,Network Monitoring & Intrusion Detection,141.56,141.56,1,scenario
2,Secure Operations,310.01,252.64000000000001,0.8149414535015,scenario
2,Secure Operations (Industrial control systems),407.27,312.64,0.7676479976428413,scenario
2,Secure System Architecture & Design,275.58,240.56,0.8729225633209958,scenario
2,Secure System Architecture & Design (Industrial Control Systems),372.84,330.56,0.8866001501984766,scenario
2,Secure System Development,275.58,240.56,0.8729225633209958,scenario
2,Secure System Development (Industrial Control Systems),372.84,330.56,0.8866001501984766,scenario
2,Security Testing,260.63,225.01999999999998,0.8633695276829221,scenario
2,Vulnerability Management,255.69,181.63,0.7103523798349564,scenario
3,Cryptography & Communications Security (Cryptographer),798.1,450,0.5638391179050244,scenario
3,Cryptography & Communications Security (Secure Communications Operator),798.1,420,0.5262498433780228,scenario
3,Cyber Security Audit & Assurance,600,360,0.6,scenario
3,Cyber Security Governance & Risk Management,400,240,0.6,scenario
3,Cyber Security Governance & Risk Management (Industrial Control Systems),500,300,0.6,scenario
3,Cyber Security Management,2098.1,870,0.4146608836566417,scenario
3,Cyber Threat Intelligence,700,420,0.6,scenario
3,Data Protection & Privacy,500,330,0.66,scenario
3,Digital Forensics,800,480,0.6,scenario
3,Digital Forensics (Industrial Control Systems),900,570,0.6333333333333333,scenario
3,Identity & Access Management,898.1,510,0.5678654938202873,scenario
3,Incident response,700,330,0.4714285714285714,scenario
3,Incident response (Industrial Control Systems),800,420,0.525,scenario
3,Network Monitoring & Intrusion Detection,400,270,0.675,scenario
3,Secure Operations,800,420,0.525,scenario
3,Secure Operations (Industrial control systems),900,480,0.5333333333333333,scenario
3,Secure System Architecture & Design,798.1,540,0.6766069414860293,scenario
3,Secure System Architecture & Design (Industrial Control Systems),898.1,630,0.7014809041309431,scenario
3,Secure System Development,798.1,540,0.6766069414860293,scenario
3,Secure System Development (Industrial Control Systems),898.1,630,0.7014809041309431,scenario
3,Security Testing,700,510,0.7285714285714285,scenario
3,Vulnerability Management,600,390,0.65,scenario
4,Cryptography & Communications Security (Cryptographer),302.89,238.84,0.788537092673908,scenario
4,Cryptography & Communications Security (Secure Communications Operator),302.89,238.84,0.788537092673908,scenario
4,Cyber Security Audit & Assurance,329.77,258.1,0.7826667070988872,scenario
4,Cyber Security Governance & Risk Management,276.01,196.64999999999998,0.7124741857179087,scenario
4,Cyber Security Governance & Risk Management (Industrial Control Systems),376.01,256.65,0.6825616339990958,scenario
4,Cyber Security Management,909.8100000000001,603.23,0.6630285444213627,scenario
4,Cyber Threat Intelligence,358.38,299.53000000000003,0.8357888275015348,scenario
4,Data Protection & Privacy,258.67999999999995,188.68,0.7293953919901037,scenario
4,Digital Forensics,363.57,348.95,0.9597876612481778,scenario
4,Digital Forensics (Industrial Control Systems),463.57,438.95,0.9468904372586664,scenario
4,Identity & Access Management,334.68,250.11999999999998,0.7473407433966773,scenario
4,Incident response,409.53000000000003,276.64,0.6755060679315312,scenario
4,Incident response (Industrial Control Systems),509.53000000000003,366.64,0.7195650893961101,scenario
