"Specialism","Expertise","Expertise_clean","Value","Threshold","id","response","indicator"
"Digital Forensics","Risk Management & Governance","risk_management_governance",NA,0,"1",0,0
"Digital Forensics","Human Factors","human_factors_and_usable_security",NA,0,"1",0,0
"Digital Forensics","Privacy & Online Rights","privacy_online_rights",NA,0,"1",0,0
"Digital Forensics","Law & Regulation","cyber_security_law_regulation","Core",90,"1",0,0
"Digital Forensics","Malware & Attack Technologies","malware_attack_technologies",NA,0,"1",100,0
"Digital Forensics","Adversarial Behaviours","adversarial_behaviours","Related",60,"1",100,60
"Digital Forensics","Forensics","forensics","Core",90,"1",50.21,50.21
"Digital Forensics","Security Operations & Incident Management","security_operations_incident_management","Related",60,"1",0,0
"Digital Forensics","Cryptography","cryptography",NA,0,"1",0,0
"Digital Forensics","Operating Systems & Virtualisation Security","operating_systems_virtualisation_security",NA,0,"1",0,0
"Digital Forensics","Distributed Systems Security","distributed_systems_security","Related",60,"1",0,0
"Digital Forensics","Formal Methods for Security","formal_methods_for_security",NA,0,"1",0,0
"Digital Forensics","Authentication, Authorisation & Accountability","authentication_authorisation_accountability",NA,0,"1",0,0
"Digital Forensics","Software Security","software_security","Related",60,"1",0,0
"Digital Forensics","Web & Mobile Security","web_mobile_security","Wider",30,"1",0,0
"Digital Forensics","Secure Software Lifecycle","secure_software_lifecycle",NA,0,"1",0,0
"Digital Forensics","Network Security","network_security","Wider",30,"1",0,0
"Digital Forensics","Hardware Security","hardware_security",NA,0,"1",0,0
"Digital Forensics","Applied Cryptography","applied_cryptography",NA,0,"1",0,0
"Digital Forensics","Cyber Physical Systems","cyber_physical_systems",NA,0,"1",0,0
"Digital Forensics","Physical Layer & Telecoms Security","physical_layer_and_telecommunications_security",NA,0,"1",0,0
"Digital Forensics (Industrial Control Systems)","Risk Management & Governance","risk_management_governance",NA,0,"1",0,0
"Digital Forensics (Industrial Control Systems)","Human Factors","human_factors_and_usable_security",NA,0,"1",0,0
"Digital Forensics (Industrial Control Systems)","Privacy & Online Rights","privacy_online_rights",NA,0,"1",0,0
"Digital Forensics (Industrial Control Systems)","Law & Regulation","cyber_security_law_regulation","Core",90,"1",0,0
"Digital Forensics (Industrial Control Systems)","Malware & Attack Technologies","malware_attack_technologies",NA,0,"1",100,0
"Digital Forensics (Industrial Control Systems)","Adversarial Behaviours","adversarial_behaviours","Related",60,"1",100,60
