"","id","permutation","test_sum","reference_sum","alignment_index","n_permutations"
"1","1","Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence",230.21,250.21,0.920067143599377,3
"2","2","Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design (Industrial Control Systems)",811.3,856.79,0.946906476499492,3
"3","3","Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design (Industrial Control Systems)",1380,2098.1,0.657737953386397,3
"4","4","Digital Forensics, Cyber Security Management, Secure System Architecture & Design (Industrial Control Systems)",795.94,909.81,0.874841999978017,3
"5","5","Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management",172.95,179.19,0.965176628160054,3
"6","6","Cyber Security Management, Security Testing, Identity & Access Management",464.28,508.78,0.912535870120681,3
"7","7","Cyber Threat Intelligence, Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design (Industrial Control Systems)",647.33,815.92,0.793374350426512,3
"8","8","Cyber Security Management, Network Monitoring & Intrusion Detection, Data Protection & Privacy",457.27,507.27,0.901433161827035,3
"9","9","Cyber Security Management, Vulnerability Management, Identity & Access Management",603.99,621.54,0.971763683753258,3
"10","10","Cyber Security Management, Incident response (Industrial Control Systems), Secure Operations",688.21,730.46,0.942159734961531,3
"11","11","Digital Forensics (Industrial Control Systems), Cyber Security Management, Cryptography & Communications Security (Cryptographer)",930.31,1233.34,0.754301328100929,3
"12","12","Digital Forensics, Cyber Security Management, Cryptography & Communications Security (Cryptographer)",304.77,315.79,0.965103391494348,3
"13","13","Cyber Security Management, Security Testing, Identity & Access Management",1020.39,1400.32,0.728683443784278,3
"14","14","Cyber Security Management, Security Testing, Secure System Architecture & Design (Industrial Control Systems)",902.03,1003.58,0.898812252137348,3
"15","15","Digital Forensics (Industrial Control Systems), Cyber Security Management, Identity & Access Management",736.82,836.63,0.880699950993868,3
"16","16","Cyber Threat Intelligence, Network Monitoring & Intrusion Detection, Secure System Architecture & Design",332.41,337.25,0.985648628613788,3
"17","17","Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence",11.8,11.8,1,3
"18","18","Digital Forensics, Cyber Security Management, Network Monitoring & Intrusion Detection",466.19,472.45,0.986749920626521,3
