"","scenario_id","permutation","threshold_sum","values_sum","alignment_index","n_permutations"
"1",1,"Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator)",870,0,0,2
"2",1,"Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance",810,30,0.037037037037037,2
"3",1,"Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management",690,0,0,2
"4",1,"Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems)",750,0,0,2
"5",1,"Cryptography & Communications Security (Cryptographer), Cyber Security Management",1320,90,0.0681818181818182,2
"6",1,"Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence",870,210,0.241379310344828,2
"7",1,"Cryptography & Communications Security (Cryptographer), Data Protection & Privacy",780,0,0,2
"8",1,"Cryptography & Communications Security (Cryptographer), Digital Forensics",930,110.21,0.118505376344086,2
"9",1,"Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems)",1020,110.21,0.108049019607843,2
"10",1,"Cryptography & Communications Security (Cryptographer), Identity & Access Management",960,30,0.03125,2
"11",1,"Cryptography & Communications Security (Cryptographer), Incident response",780,150,0.192307692307692,2
"12",1,"Cryptography & Communications Security (Cryptographer), Incident response (Industrial Control Systems)",870,150,0.172413793103448,2
"13",1,"Cryptography & Communications Security (Cryptographer), Network Monitoring & Intrusion Detection",720,90,0.125,2
"14",1,"Cryptography & Communications Security (Cryptographer), Secure Operations",870,60,0.0689655172413793,2
"15",1,"Cryptography & Communications Security (Cryptographer), Secure Operations (Industrial control systems)",930,60,0.0645161290322581,2
"16",1,"Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design",990,0,0,2
"17",1,"Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design (Industrial Control Systems)",1080,0,0,2
"18",1,"Cryptography & Communications Security (Cryptographer), Secure System Development",990,0,0,2
"19",1,"Cryptography & Communications Security (Cryptographer), Secure System Development (Industrial Control Systems)",1080,0,0,2
"20",1,"Cryptography & Communications Security (Cryptographer), Security Testing",960,120,0.125,2
"21",1,"Cryptography & Communications Security (Cryptographer), Vulnerability Management",840,120,0.142857142857143,2
"22",1,"Cryptography & Communications Security (Secure Communications Operator), Cyber Security Audit & Assurance",780,30,0.0384615384615385,2
"23",1,"Cryptography & Communications Security (Secure Communications Operator), Cyber Security Governance & Risk Management",660,0,0,2
"24",1,"Cryptography & Communications Security (Secure Communications Operator), Cyber Security Governance & Risk Management (Industrial Control Systems)",720,0,0,2
"25",1,"Cryptography & Communications Security (Secure Communications Operator), Cyber Security Management",1290,90,0.0697674418604651,2
"26",1,"Cryptography & Communications Security (Secure Communications Operator), Cyber Threat Intelligence",840,210,0.25,2
"27",1,"Cryptography & Communications Security (Secure Communications Operator), Data Protection & Privacy",750,0,0,2
"28",1,"Cryptography & Communications Security (Secure Communications Operator), Digital Forensics",900,110.21,0.122455555555556,2
"29",1,"Cryptography & Communications Security (Secure Communications Operator), Digital Forensics (Industrial Control Systems)",990,110.21,0.111323232323232,2
"30",1,"Cryptography & Communications Security (Secure Communications Operator), Identity & Access Management",930,30,0.032258064516129,2
"31",1,"Cryptography & Communications Security (Secure Communications Operator), Incident response",750,150,0.2,2
"32",1,"Cryptography & Communications Security (Secure Communications Operator), Incident response (Industrial Control Systems)",840,150,0.178571428571429,2
"33",1,"Cryptography & Communications Security (Secure Communications Operator), Network Monitoring & Intrusion Detection",690,90,0.130434782608696,2
"34",1,"Cryptography & Communications Security (Secure Communications Operator), Secure Operations",840,60,0.0714285714285714,2
"35",1,"Cryptography & Communications Security (Secure Communications Operator), Secure Operations (Industrial control systems)",900,60,0.0666666666666667,2
"36",1,"Cryptography & Communications Security (Secure Communications Operator), Secure System Architecture & Design",960,0,0,2
"37",1,"Cryptography & Communications Security (Secure Communications Operator), Secure System Architecture & Design (Industrial Control Systems)",1050,0,0,2
"38",1,"Cryptography & Communications Security (Secure Communications Operator), Secure System Development",960,0,0,2
"39",1,"Cryptography & Communications Security (Secure Communications Operator), Secure System Development (Industrial Control Systems)",1050,0,0,2
"40",1,"Cryptography & Communications Security (Secure Communications Operator), Security Testing",930,120,0.129032258064516,2
"41",1,"Cryptography & Communications Security (Secure Communications Operator), Vulnerability Management",810,120,0.148148148148148,2
"42",1,"Cyber Security Audit & Assurance, Cyber Security Governance & Risk Management",600,30,0.05,2
"43",1,"Cyber Security Audit & Assurance, Cyber Security Governance & Risk Management (Industrial Control Systems)",660,30,0.0454545454545455,2
"44",1,"Cyber Security Audit & Assurance, Cyber Security Management",1230,120,0.0975609756097561,2
"45",1,"Cyber Security Audit & Assurance, Cyber Threat Intelligence",780,240,0.307692307692308,2
"46",1,"Cyber Security Audit & Assurance, Data Protection & Privacy",690,30,0.0434782608695652,2
"47",1,"Cyber Security Audit & Assurance, Digital Forensics",840,140.21,0.166916666666667,2
"48",1,"Cyber Security Audit & Assurance, Digital Forensics (Industrial Control Systems)",930,140.21,0.150763440860215,2
"49",1,"Cyber Security Audit & Assurance, Identity & Access Management",870,60,0.0689655172413793,2
"50",1,"Cyber Security Audit & Assurance, Incident response",690,180,0.260869565217391,2
"51",1,"Cyber Security Audit & Assurance, Incident response (Industrial Control Systems)",780,180,0.230769230769231,2
"52",1,"Cyber Security Audit & Assurance, Network Monitoring & Intrusion Detection",630,120,0.19047619047619,2
"53",1,"Cyber Security Audit & Assurance, Secure Operations",780,90,0.115384615384615,2
"54",1,"Cyber Security Audit & Assurance, Secure Operations (Industrial control systems)",840,90,0.107142857142857,2
"55",1,"Cyber Security Audit & Assurance, Secure System Architecture & Design",900,30,0.0333333333333333,2
"56",1,"Cyber Security Audit & Assurance, Secure System Architecture & Design (Industrial Control Systems)",990,30,0.0303030303030303,2
"57",1,"Cyber Security Audit & Assurance, Secure System Development",900,30,0.0333333333333333,2
"58",1,"Cyber Security Audit & Assurance, Secure System Development (Industrial Control Systems)",990,30,0.0303030303030303,2
"59",1,"Cyber Security Audit & Assurance, Security Testing",870,150,0.172413793103448,2
"60",1,"Cyber Security Audit & Assurance, Vulnerability Management",750,150,0.2,2
"61",1,"Cyber Security Governance & Risk Management, Cyber Security Governance & Risk Management (Industrial Control Systems)",540,0,0,2
"62",1,"Cyber Security Governance & Risk Management, Cyber Security Management",1110,90,0.0810810810810811,2
"63",1,"Cyber Security Governance & Risk Management, Cyber Threat Intelligence",660,210,0.318181818181818,2
"64",1,"Cyber Security Governance & Risk Management, Data Protection & Privacy",570,0,0,2
"65",1,"Cyber Security Governance & Risk Management, Digital Forensics",720,110.21,0.153069444444444,2
"66",1,"Cyber Security Governance & Risk Management, Digital Forensics (Industrial Control Systems)",810,110.21,0.136061728395062,2
"67",1,"Cyber Security Governance & Risk Management, Identity & Access Management",750,30,0.04,2
"68",1,"Cyber Security Governance & Risk Management, Incident response",570,150,0.263157894736842,2
"69",1,"Cyber Security Governance & Risk Management, Incident response (Industrial Control Systems)",660,150,0.227272727272727,2
"70",1,"Cyber Security Governance & Risk Management, Network Monitoring & Intrusion Detection",510,90,0.176470588235294,2
"71",1,"Cyber Security Governance & Risk Management, Secure Operations",660,60,0.0909090909090909,2
"72",1,"Cyber Security Governance & Risk Management, Secure Operations (Industrial control systems)",720,60,0.0833333333333333,2
"73",1,"Cyber Security Governance & Risk Management, Secure System Architecture & Design",780,0,0,2
"74",1,"Cyber Security Governance & Risk Management, Secure System Architecture & Design (Industrial Control Systems)",870,0,0,2
"75",1,"Cyber Security Governance & Risk Management, Secure System Development",780,0,0,2
"76",1,"Cyber Security Governance & Risk Management, Secure System Development (Industrial Control Systems)",870,0,0,2
"77",1,"Cyber Security Governance & Risk Management, Security Testing",750,120,0.16,2
"78",1,"Cyber Security Governance & Risk Management, Vulnerability Management",630,120,0.19047619047619,2
"79",1,"Cyber Security Governance & Risk Management (Industrial Control Systems), Cyber Security Management",1170,90,0.0769230769230769,2
"80",1,"Cyber Security Governance & Risk Management (Industrial Control Systems), Cyber Threat Intelligence",720,210,0.291666666666667,2
"81",1,"Cyber Security Governance & Risk Management (Industrial Control Systems), Data Protection & Privacy",630,0,0,2
"82",1,"Cyber Security Governance & Risk Management (Industrial Control Systems), Digital Forensics",780,110.21,0.141294871794872,2
"83",1,"Cyber Security Governance & Risk Management (Industrial Control Systems), Digital Forensics (Industrial Control Systems)",870,110.21,0.12667816091954,2
"84",1,"Cyber Security Governance & Risk Management (Industrial Control Systems), Identity & Access Management",810,30,0.037037037037037,2
"85",1,"Cyber Security Governance & Risk Management (Industrial Control Systems), Incident response",630,150,0.238095238095238,2
"86",1,"Cyber Security Governance & Risk Management (Industrial Control Systems), Incident response (Industrial Control Systems)",720,150,0.208333333333333,2
"87",1,"Cyber Security Governance & Risk Management (Industrial Control Systems), Network Monitoring & Intrusion Detection",570,90,0.157894736842105,2
"88",1,"Cyber Security Governance & Risk Management (Industrial Control Systems), Secure Operations",720,60,0.0833333333333333,2
