id,Specialism,max_threshold_value,alignment_sum,alignment_index,alignment_mean,max,min
1,Cryptography & Communications Security (Cryptographer),450,0,0,0,0,0
1,Cryptography & Communications Security (Secure Communications Operator),420,0,0,0,0,0
1,Cyber Security Audit & Assurance,360,30,0.08333333333333333,5,100,0
1,Cyber Security Governance & Risk Management,240,0,0,0,0,0
1,Cyber Security Governance & Risk Management (Industrial Control Systems),300,0,0,0,0,0
1,Cyber Security Management,870,90,0.10344827586206896,4.2857142857142865,100,0
1,Cyber Threat Intelligence,420,210,0.5,30,100,0
1,Data Protection & Privacy,330,0,0,0,0,0
1,Digital Forensics,480,110.21000000000001,0.2296041666666667,13.77625,100,0
1,Digital Forensics (Industrial Control Systems),570,110.21000000000001,0.19335087719298247,12.245555555555557,100,0
1,Identity & Access Management,510,30,0.058823529411764705,3.3333333333333335,100,0
1,Incident response,330,150,0.45454545454545453,21.428571428571427,100,0
1,Incident response (Industrial Control Systems),420,150,0.35714285714285715,18.75,100,0
1,Network Monitoring & Intrusion Detection,270,90,0.3333333333333333,22.5,100,0
1,Secure Operations,420,60,0.14285714285714285,7.5,100,0
1,Secure Operations (Industrial control systems),480,60,0.125,6.666666666666667,100,0
1,Secure System Architecture & Design,540,0,0,0,0,0
1,Secure System Architecture & Design (Industrial Control Systems),630,0,0,0,0,0
1,Secure System Development,540,0,0,0,0,0
1,Secure System Development (Industrial Control Systems),630,0,0,0,0,0
1,Security Testing,510,120,0.23529411764705882,17.142857142857146,100,0
1,Vulnerability Management,390,120,0.3076923076923077,20,100,0
2,Cryptography & Communications Security (Cryptographer),450,265.35,0.5896666666666667,33.16875,95.61,7.96
2,Cryptography & Communications Security (Secure Communications Operator),420,265.35,0.6317857142857144,33.16875,95.61,7.96
2,Cyber Security Audit & Assurance,360,334.65000000000003,0.9295833333333334,55.775,99.04,8.23
2,Cyber Security Governance & Risk Management,240,240,1,60,99.04,58.57
2,Cyber Security Governance & Risk Management (Industrial Control Systems),300,300,1,60,99.04,58.57
2,Cyber Security Management,870,640.26,0.7359310344827587,30.48857142857143,99.04,5.9
2,Cyber Threat Intelligence,420,205.46,0.48919047619047623,29.35142857142857,99.04,8.23
2,Data Protection & Privacy,330,248.45,0.7528787878787878,49.69,99.04,27.85
2,Digital Forensics,480,277.20000000000005,0.5775000000000001,34.65,95.61,8.23
2,Digital Forensics (Industrial Control Systems),570,367.20000000000005,0.6442105263157896,40.8,97.26,8.23
2,Identity & Access Management,510,234.54,0.45988235294117646,26.06,99.04,7.96
