"recorded_date","participant_accepts","years_experience","job_title","organisation_sector","organisation_sector_other","organisation_size","expertise_comb_risk_management_governance","expertise_comb_social_organisation_strategy_and_process","expertise_comb_cyber_security_law_regulation","expertise_comb_political_aspects_of_cyber_security","expertise_comb_human_factors_and_usable_security","expertise_comb_security_culture_narrative_and_communication","expertise_comb_privacy_online_rights","expertise_comb_data_science_ai_for_cyber_security","expertise_comb_malware_attack_technologies","expertise_comb_adversarial_behaviours","expertise_comb_security_operations_incident_management","expertise_comb_forensics","expertise_comb_cryptography","expertise_comb_operating_systems_virtualisation_security","expertise_comb_distributed_systems_security","expertise_comb_formal_methods_for_security","expertise_comb_authentication_authorisation_accountability","expertise_comb_software_security","expertise_comb_web_mobile_security","expertise_comb_secure_software_lifecycle","expertise_comb_network_security","expertise_comb_cloud_security","expertise_comb_applied_cryptography","expertise_comb_hardware_security","expertise_comb_cyber_physical_systems","expertise_comb_physical_layer_and_telecommunications_security","scenario_name","scenario_role","scenario_description","scenario_job_title","scenario_organisation_size","scenario_organisation_sector","scenario_organisation_sector_other","scenario_expertise_portfolio_risk_management_governance","scenario_expertise_portfolio_social_organisation_strategy_and_process","scenario_expertise_portfolio_cyber_security_law_regulation","scenario_expertise_portfolio_political_aspects_of_cyber_security","scenario_expertise_portfolio_human_factors_and_usable_security","scenario_expertise_portfolio_security_culture_narrative_and_communication","scenario_expertise_portfolio_privacy_online_rights","scenario_expertise_portfolio_data_science_ai_for_cyber_security","scenario_expertise_portfolio_malware_attack_technologies","scenario_expertise_portfolio_adversarial_behaviours","scenario_expertise_portfolio_security_operations_incident_management","scenario_expertise_portfolio_forensics","scenario_expertise_portfolio_cryptography","scenario_expertise_portfolio_operating_systems_virtualisation_security","scenario_expertise_portfolio_distributed_systems_security","scenario_expertise_portfolio_formal_methods_for_security","scenario_expertise_portfolio_authentication_authorisation_accountability","scenario_expertise_portfolio_software_security","scenario_expertise_portfolio_web_mobile_security","scenario_expertise_portfolio_secure_software_lifecycle","scenario_expertise_portfolio_network_security","scenario_expertise_portfolio_cloud_security","scenario_expertise_portfolio_applied_cryptography","scenario_expertise_portfolio_hardware_security","scenario_expertise_portfolio_cyber_physical_systems","scenario_expertise_portfolio_physical_layer_and_telecommunications_security","more_scenarios","scenario_name_1","scenario_role_1","scenario_description_1","scenario_job_title_1","scenario_organisation_size_1","scenario_organisation_sector_1","scenario_organisation_sector_other_1","scenario_expertise_portfolio_risk_management_governance_1","scenario_expertise_portfolio_social_organisation_strategy_and_process_1","scenario_expertise_portfolio_cyber_security_law_regulation_1","scenario_expertise_portfolio_political_aspects_of_cyber_security_1","scenario_expertise_portfolio_human_factors_and_usable_security_1","scenario_expertise_portfolio_security_culture_narrative_and_communication_1","scenario_expertise_portfolio_privacy_online_rights_1","scenario_expertise_portfolio_data_science_ai_for_cyber_security_1","scenario_expertise_portfolio_malware_attack_technologies_1","scenario_expertise_portfolio_adversarial_behaviours_1","scenario_expertise_portfolio_security_operations_incident_management_1","scenario_expertise_portfolio_forensics_1","scenario_expertise_portfolio_cryptography_1","scenario_expertise_portfolio_operating_systems_virtualisation_security_1","scenario_expertise_portfolio_distributed_systems_security_1","scenario_expertise_portfolio_formal_methods_for_security_1","scenario_expertise_portfolio_authentication_authorisation_accountability_1","scenario_expertise_portfolio_software_security_1","scenario_expertise_portfolio_web_mobile_security_1","scenario_expertise_portfolio_secure_software_lifecycle_1","scenario_expertise_portfolio_network_security_1","scenario_expertise_portfolio_cloud_security_1","scenario_expertise_portfolio_applied_cryptography_1","scenario_expertise_portfolio_hardware_security_1","scenario_expertise_portfolio_cyber_physical_systems_1","scenario_expertise_portfolio_physical_layer_and_telecommunications_security_1","more_scenarios_1","age","disabilities","uk_ethnic_origin","gender","sexual_orientation","transgender"
"12/09/2024 11:28","Yes","10","Principal Analyst","finance and insurance",NA,"Large (250 employees or more)","0","0","0","0","100","0","23.87","23.73","100","100","50.89","51.17","0","13.72","0","0","0","22.77","0","24.01","23.32","0","0","0","0","0","Security Incident","Current role","Investigating a CNO.","Principal Analyst","Large (250 employees or more)","finance and insurance",NA,"0","0","0","0","0","0","0","0","100","100","0","50.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No. Take me to the next page of the survey (there are just 2 pages left!)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"40-49","No, I do not have a disability, or a history/record of having one","Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)","Male","Yes","No"
"12/09/2024 11:30","Yes","7","Technical Lead for Regulation","professional, scientific, and technical",NA,"Large (250 employees or more)","96.3","26.61","84.09","67.35","8.09","32.78","47.74","36.49","19.62","12.07","31.28","15.5","3.43","13.85","20.03","25.65","53.36","13.72","10.7","38.27","73.53","24.42","4.39","9.33","76.54","50.34","Framing cyber in a different regulatory context","Previous role","Different regulators considering cybersecurity impact from other regulatory perspective, how to integrate","N/A","Large (250 employees or more)","professional, scientific, and technical","0","99.04","4.66","95.61","22.22","72.98","77.37","27.85","38.41","9.74","8.23","58.57","8.92","7.96","14.81","39.37","6.17","40.6","27.02","15.09","39.92","65.02","13.72","5.9","66.39","97.26","50.34","No. Take me to the next page of the survey (there are just 2 pages left!)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"50-59","I prefer not to answer","White","I prefer not to answer","I prefer not to answer","I prefer not to answer"
"12/09/2024 11:35","Yes","37","director","information and communications",NA,"Small (10 to 49 employees)","93.67","96.84","4.43","4.43","100","96.2","4.43","97.47","97.47","99.37","100","49.68","100","4.43","92.09","4.43","4.43","95.89","99.68","97.78","90.51","71.2","4.43","99.05","100","100","massive malware attacks","Current role","Global mass use of malware as a service platforms that have hugely proliferated over the last three years.","director","Small (10 to 49 employees)","information and communications",NA,"100","100","100","100","100","100","100","100","100","100","100","100","98.1","100","100","100","100","100","100","100","100","100","100","100","100","100","No. Take me to the next page of the survey (there are just 2 pages left!)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No"
"12/09/2024 11:36","Yes","8","Principal Industrial Security Consultant ","entertainment, service, and membership organisations",NA,"Large (250 employees or more)","66.18","11.27","43.64","29.19","65.03","78.32","16.47","15.61","71.1","72.54","78.9","50.58","37.86","65.61","65.61","53.76","56.07","28.03","26.3","31.79","91.04","37.28","8.96","27.46","100","87.57","Security Culture ","Current role","Non cyber engineers were not brought into cyber and some were blocking many initiatives ","Principal Industrial Security Consultant ","Large (250 employees or more)","entertainment, service, and membership organisations",NA,"53.76","7.23","52.89","36.13","100","88.73","1.45","1.16","34.97","52.31","69.36","59.83","2.02","50.58","54.62","37.57","50.58","37.57","1.73","2.02","35.26","0","0","57.8","100","55.49","No. Take me to the next page of the survey (there are just 2 pages left!)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"30-39","Yes, I have a mental disability or neurodiversity, or have a history/record of having one","White","Non binary","Yes","Yes"
"12/09/2024 11:37","Yes","8","Director of Engineering and Cyber Security","transport and storage",NA,"Large (250 employees or more)","83.24","68.21","35.55","12.72","17.63","47.98","41.91","9.25","15.9","6.07","54.91","10.12","2.6","13.58","8.09","15.9","46.24","26.88","11.85","43.93","11.56","23.7","7.8","10.98","10.98","9.25","Making a Executive Board care / invest in cyber security ","Current role","Used a scoring method - NIST as my board understood KPIs and the numbers spoke louder than words. Also used an external organisation to do it.","Director of Engineering and Cyber Security","Large (250 employees or more)","transport and storage",NA,"96.24","86.71","82.95","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No. Take me to the next page of the survey (there are just 2 pages left!)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"30-39","No, I do not have a disability, or a history/record of having one","Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)","Female","No","No"
"12/09/2024 11:40","Yes","14","Head of UK Cyber Threat Intelligence","information and communications",NA,"Large (250 employees or more)","40.6","33.74","37.45","42.52","6.31","5.62","7.41","8.09","40.47","5.76","52.67","48.97","9.74","52.67","5.21","49.52","50.07","8.09","54.6","6.45","64.47","38.13","5.08","7.27","4.8","50.07","Attack Surface Management","Previous role","Huge Internet attack surface, largely unknown or undocumented address space.  Large technology debt, including end-of-life operating systems and multiple critical vulnerabilities.","Head of EASM","Large (250 employees or more)","information and communications","0","92.32","0","0","0","0","94.65","0","0","0","0","0","0","23.18","92.18","0","0","79.42","60.77","100","0","60.91","64.88","0","0","0","0","No. Take me to the next page of the survey (there are just 2 pages left!)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No"
"13/09/2024 09:45","Yes","20","Cyber Security Solutions and Services Consultant","utilities and production (including manufacturing)",NA,"Large (250 employees or more)","46.5","10.56","73.39","12.76","14.68","27.85","11.39","41.7","15.91","10.97","40.05","10.43","83.26","11.52","80.11","73.25","60.63","17.83","11.39","12.07","72.02","43.76","83.95","91.08","79.15","7.68","Protecting Legacy equipment against emerging AI/PQC Threat","Current role","How to isolate legacy equipment which has 5-10 yrs operational use. But is not possible to support or patch against CNI threats.","Cyber Security Solutions and Services Consultant","Large (250 employees or more)","utilities and production (including manufacturing)",NA,"4.12","2.88","3.16","4.8","4.39","4.66","3.7","1.37","37.86","70.51","3.02","4.39","94.51","55.69","85.6","3.84","87.52","2.47","1.37","5.62","92.18","8.5","87.11","99.04","61.18","8.64","No. Take me to the next page of the survey (there are just 2 pages left!)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"60 and over","No, I do not have a disability, or a history/record of having one","Mixed two or more ethnic groups","Male","No","No"
"13/09/2024 13:10","Yes","29","Head of Ethics and Sustainability Consulting","information and communications",NA,"Large (250 employees or more)","100","40.88","45.4","48.29","24.14","70.51","100","31.96","0.69","0.82","1.78","1.78","18.24","1.51","2.06","2.33","1.1","1.51","1.51","1.92","1.51","1.37","1.37","1.92","5.9","1.65","Researching ethics of cybersecurity","Previous role","Researching how to go about understanding ethics of cybersecurity","Ass. Professor","Large (250 employees or more)","education","0","65.57","92.73","89.57","34.84","100","95.47","100","21.95","10.43","0","53.64","0","1.37","0","0","0","0","18.38","19.75","0","48.56","0","0","0","0","0","No. Take me to the next page of the survey (there are just 2 pages left!)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"50-59","Yes, I have a mental disability or neurodiversity, or have a history/record of having one","White","Male","No","No"
"13/09/2024 14:30","Yes","3","Senior Cosultant","professional, scientific, and technical",NA,"Large (250 employees or more)","87.11","64.33","87.24","76.27","63.1","13.17","60.63","17.83","13.85","19.2","41.15","20.85","93.55","7","19.2","20.99","12.62","12.89","16.46","33.2","62","20.16","93.42","16.05","12.21","11.39","In a public sector organization different stakeholders require different actions. Furthermore, different regimes with regards to information handling are in place and they do not always coincide. The challenge was to bring the different stakeholders in line with the different regulatory requirements and make the right design choices to divide the problem over different organizations and departments.","Current role","After allot of hassling and people refusing to work together, we organized working sessions that started from the ground up. What are our shared goals and values? How do we place these values against the regulatory requirements? What is it we all find important or not important at all? After creating this common ground we took a deep dive into the most contentious problems where we leveraged domain knowledge on the specific problem and knowledge about the organization to create the required buy-in from all parties.","Senior Cosultant","Large (250 employees or more)","professional, scientific, and technical",NA,"85.6","100","82.03","91.91","50.89","61.87","61.32","2.06","19.2","58.02","47.19","1.65","45.54","5.76","1.23","2.47","34.57","2.33","5.35","4.12","50.21","5.49","46.23","6.31","5.62","5.9","No. Take me to the next page of the survey (there are just 2 pages left!)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"26-29","No, I do not have a disability, or a history/record of having one","White","Male","No","No"
"16/09/2024 15:26","Yes","10","Global OT Governance & Compliance Supervisor","Other (please state)","oil & gas","Large (250 employees or more)","77.37","53.22","53.77","12.89","9.33","21.67","4.53","6.17","25.65","9.74","35.25","16.19","5.08","47.6","18.93","2.74","25.79","10.97","22.22","22.63","50.48","12.48","4.25","13.99","100","21.54","Major accident risk assessment from cyber causes","Current role","Regulation requires risk assessment of major accident scenarios from cyber causes","Global OT Governance & Compliance Supervisor","Large (250 employees or more)","Other (please state)","oil & gas","95.61","23.59","88.89","2.61","3.7","37.86","3.84","7.13","43.07","45.27","25.79","3.84","7.13","41.56","28.26","4.53","45.68","26.89","3.29","4.12","64.2","2.88","12.35","37.45","99.86","45.13","No. Take me to the next page of the survey (there are just 2 pages left!)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"40-49","No, I do not have a disability, or a history/record of having one","White","Male","No","No"
