"age","disabilities","uk_ethnic_origin","gender","sexual_orientation","transgender","years_experience","scenario_name","scenario_role","scenario_description","scenario_job_title","scenario_organisation_size","scenario_organisation_sector","scenario_organisation_sector_other","scenario_expertise_portfolio_risk_management_governance","scenario_expertise_portfolio_social_organisation_strategy_and_process","scenario_expertise_portfolio_cyber_security_law_regulation","scenario_expertise_portfolio_political_aspects_of_cyber_security","scenario_expertise_portfolio_human_factors_and_usable_security","scenario_expertise_portfolio_security_culture_narrative_and_communication","scenario_expertise_portfolio_privacy_online_rights","scenario_expertise_portfolio_data_science_ai_for_cyber_security","scenario_expertise_portfolio_malware_attack_technologies","scenario_expertise_portfolio_adversarial_behaviours","scenario_expertise_portfolio_security_operations_incident_management","scenario_expertise_portfolio_forensics","scenario_expertise_portfolio_cryptography","scenario_expertise_portfolio_operating_systems_virtualisation_security","scenario_expertise_portfolio_distributed_systems_security","scenario_expertise_portfolio_formal_methods_for_security","scenario_expertise_portfolio_authentication_authorisation_accountability","scenario_expertise_portfolio_software_security","scenario_expertise_portfolio_web_mobile_security","scenario_expertise_portfolio_secure_software_lifecycle","scenario_expertise_portfolio_network_security","scenario_expertise_portfolio_cloud_security","scenario_expertise_portfolio_applied_cryptography","scenario_expertise_portfolio_hardware_security","scenario_expertise_portfolio_cyber_physical_systems","scenario_expertise_portfolio_physical_layer_and_telecommunications_security"
"40-49","No, I do not have a disability, or a history/record of having one","Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)","Male","Yes","No","10","Security Incident","Current role","Investigating a CNO.","Principal Analyst","Large (250 employees or more)","finance and insurance",NA,"0","0","0","0","0","0","0","0","100","100","0","50.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50-59","I prefer not to answer","White","I prefer not to answer","I prefer not to answer","I prefer not to answer","7","Framing cyber in a different regulatory context","Previous role","Different regulators considering cybersecurity impact from other regulatory perspective, how to integrate","N/A","Large (250 employees or more)","professional, scientific, and technical","0","99.04","4.66","95.61","22.22","72.98","77.37","27.85","38.41","9.74","8.23","58.57","8.92","7.96","14.81","39.37","6.17","40.6","27.02","15.09","39.92","65.02","13.72","5.9","66.39","97.26","50.34"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","37","massive malware attacks","Current role","Global mass use of malware as a service platforms that have hugely proliferated over the last three years.","director","Small (10 to 49 employees)","information and communications",NA,"100","100","100","100","100","100","100","100","100","100","100","100","98.1","100","100","100","100","100","100","100","100","100","100","100","100","100"
"30-39","Yes, I have a mental disability or neurodiversity, or have a history/record of having one","White","Non binary","Yes","Yes","8","Security Culture ","Current role","Non cyber engineers were not brought into cyber and some were blocking many initiatives ","Principal Industrial Security Consultant ","Large (250 employees or more)","entertainment, service, and membership organisations",NA,"53.76","7.23","52.89","36.13","100","88.73","1.45","1.16","34.97","52.31","69.36","59.83","2.02","50.58","54.62","37.57","50.58","37.57","1.73","2.02","35.26","0","0","57.8","100","55.49"
"30-39","No, I do not have a disability, or a history/record of having one","Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)","Female","No","No","8","Making a Executive Board care / invest in cyber security ","Current role","Used a scoring method - NIST as my board understood KPIs and the numbers spoke louder than words. Also used an external organisation to do it.","Director of Engineering and Cyber Security","Large (250 employees or more)","transport and storage",NA,"96.24","86.71","82.95","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","14","Attack Surface Management","Previous role","Huge Internet attack surface, largely unknown or undocumented address space.  Large technology debt, including end-of-life operating systems and multiple critical vulnerabilities.","Head of EASM","Large (250 employees or more)","information and communications","0","92.32","0","0","0","0","94.65","0","0","0","0","0","0","23.18","92.18","0","0","79.42","60.77","100","0","60.91","64.88","0","0","0","0"
"60 and over","No, I do not have a disability, or a history/record of having one","Mixed two or more ethnic groups","Male","No","No","20","Protecting Legacy equipment against emerging AI/PQC Threat","Current role","How to isolate legacy equipment which has 5-10 yrs operational use. But is not possible to support or patch against CNI threats.","Cyber Security Solutions and Services Consultant","Large (250 employees or more)","utilities and production (including manufacturing)",NA,"4.12","2.88","3.16","4.8","4.39","4.66","3.7","1.37","37.86","70.51","3.02","4.39","94.51","55.69","85.6","3.84","87.52","2.47","1.37","5.62","92.18","8.5","87.11","99.04","61.18","8.64"
"50-59","Yes, I have a mental disability or neurodiversity, or have a history/record of having one","White","Male","No","No","29","Researching ethics of cybersecurity","Previous role","Researching how to go about understanding ethics of cybersecurity","Ass. Professor","Large (250 employees or more)","education","0","65.57","92.73","89.57","34.84","100","95.47","100","21.95","10.43","0","53.64","0","1.37","0","0","0","0","18.38","19.75","0","48.56","0","0","0","0","0"
"26-29","No, I do not have a disability, or a history/record of having one","White","Male","No","No","3","In a public sector organization different stakeholders require different actions. Furthermore, different regimes with regards to information handling are in place and they do not always coincide. The challenge was to bring the different stakeholders in line with the different regulatory requirements and make the right design choices to divide the problem over different organizations and departments.","Current role","After allot of hassling and people refusing to work together, we organized working sessions that started from the ground up. What are our shared goals and values? How do we place these values against the regulatory requirements? What is it we all find important or not important at all? After creating this common ground we took a deep dive into the most contentious problems where we leveraged domain knowledge on the specific problem and knowledge about the organization to create the required buy-in from all parties.","Senior Cosultant","Large (250 employees or more)","professional, scientific, and technical",NA,"85.6","100","82.03","91.91","50.89","61.87","61.32","2.06","19.2","58.02","47.19","1.65","45.54","5.76","1.23","2.47","34.57","2.33","5.35","4.12","50.21","5.49","46.23","6.31","5.62","5.9"
"40-49","No, I do not have a disability, or a history/record of having one","White","Male","No","No","10","Major accident risk assessment from cyber causes","Current role","Regulation requires risk assessment of major accident scenarios from cyber causes","Global OT Governance & Compliance Supervisor","Large (250 employees or more)","Other (please state)","oil & gas","95.61","23.59","88.89","2.61","3.7","37.86","3.84","7.13","43.07","45.27","25.79","3.84","7.13","41.56","28.26","4.53","45.68","26.89","3.29","4.12","64.2","2.88","12.35","37.45","99.86","45.13"
